VARIABLES="time" "Distance" "lon" "lat" "density" "Vx" "Vy" "Vz" "p" "Bx" "By" "Bz" "T"
ZONE
DT=(DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE )
2.012529234973e+03 1.020000000000e+00 3.591507555516e+01 4.200000000000e+00 3.652711505346e+00 4.177684221488e+02 7.070546155698e+00 -2.495022167756e+00 5.448854049228e+01 2.589592908127e+01 -8.701723017045e+00 -1.704747534736e+00 5.393331811807e+04
2.012529349013e+03 1.020000000000e+00 3.591507555516e+01 4.200000000000e+00 3.903202833374e+00 4.158196115199e+02 7.340565587187e+00 -1.329583821007e+00 5.995003876155e+01 2.288904737657e+01 -8.715980294206e+00 -5.343045652393e-01 5.552091706599e+04
2.012529463053e+03 1.020000000000e+00 3.591507555516e+01 4.200000000000e+00 4.208302510863e+00 4.143577701154e+02 7.379797602364e+00 -4.683467205378e-01 6.683595230242e+01 1.979479978681e+01 -8.630231237902e+00 4.775235883051e-01 5.741999675801e+04
2.012529577093e+03 1.020000000000e+00 3.591507555516e+01 4.200000000000e+00 4.521065477482e+00 4.130516063724e+02 7.252663438103e+00 3.731898310541e-02 7.409478726903e+01 1.679155663372e+01 -8.473536063887e+00 1.174904151339e+00 5.927367953126e+04
2.012529691134e+03 1.020000000000e+00 3.591507555516e+01 4.200000000000e+00 4.810908225710e+00 4.117652850988e+02 6.690424865382e+00 2.137844398205e-01 8.097763615994e+01 1.409177881491e+01 -8.299599059344e+00 1.511862639614e+00 6.089916541256e+04
2.012529805174e+03 1.020000000000e+00 3.591507555516e+01 4.200000000000e+00 5.066306087800e+00 4.104882391854e+02 5.506774891592e+00 1.302762661276e-01 8.715613141517e+01 1.184854255748e+01 -8.124906680124e+00 1.636758503909e+00 6.226142857226e+04
2.012529919214e+03 1.020000000000e+00 3.591507555516e+01 4.200000000000e+00 5.278334277020e+00 4.092336498352e+02 3.901115525302e+00 -3.146558901174e-01 9.236497109126e+01 1.010127823092e+01 -7.946145870004e+00 1.617046144366e+00 6.334727199226e+04
2.012530033254e+03 1.020000000000e+00 3.591507555516e+01 4.200000000000e+00 5.438415091503e+00 4.079879198204e+02 2.231460108716e+00 -9.870429345141e-01 9.657256115127e+01 8.782367248054e+00 -7.678240813423e+00 1.440013352031e+00 6.429240254744e+04
2.012530147295e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 5.551844427043e+00 4.098110267439e+02 1.035310309332e+00 -2.269222294287e+00 9.760426406825e+01 1.103231125370e+01 -9.544930443406e+00 8.568938227319e-01 6.365780544409e+04
2.012530261335e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 5.480315114719e+00 4.086357437318e+02 -4.146415041157e-01 -2.716695873942e+00 1.008032480619e+02 1.001309761383e+01 -8.556646803558e+00 9.343077759418e-02 6.660542502734e+04
2.012530375375e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 5.363698712392e+00 4.075158606601e+02 -1.533306927924e+00 -3.111510249663e+00 1.027415884957e+02 9.054747465236e+00 -7.480332831798e+00 -5.450961592019e-01 6.936544779972e+04
2.012530489415e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 5.231056537670e+00 4.062044276155e+02 -2.185394070448e+00 -3.362626547132e+00 1.028870092391e+02 8.036715483932e+00 -6.245957809710e+00 -9.397132639965e-01 7.122917171751e+04
2.012530603456e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 5.082420832041e+00 4.043295967203e+02 -2.446773516704e+00 -3.452495136468e+00 1.007675057323e+02 6.846181740267e+00 -4.634230882542e+00 -1.087031378070e+00 7.180342192170e+04
2.012530717496e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.939247001056e+00 4.020623564029e+02 -2.434429155271e+00 -3.409477804910e+00 9.782372340856e+01 5.394752258188e+00 -2.827414391575e+00 -1.103213369805e+00 7.172632430202e+04
2.012530831536e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.814625999147e+00 3.994822715487e+02 -1.883648361949e+00 -3.057081902323e+00 9.485317488147e+01 3.622082590642e+00 -9.447161920831e-01 -9.700881785947e-01 7.134907619018e+04
2.012530945576e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.705092723779e+00 3.965639110606e+02 -6.859141544469e-01 -2.126468138502e+00 9.207156497696e+01 1.498253453362e+00 1.040293108416e+00 -5.410757638171e-01 7.087141142185e+04
2.012531059617e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.609692804908e+00 3.933197519942e+02 1.128613974079e+00 -8.917888371801e-01 8.933273965839e+01 -9.855418457651e-01 3.212943449818e+00 1.448772708218e-01 7.018756051560e+04
2.012531173657e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.527716941892e+00 3.898409779434e+02 3.225825056519e+00 2.992154270550e-01 8.603117437313e+01 -3.815543421701e+00 5.577059283836e+00 8.214044579918e-01 6.882006287433e+04
2.012531287697e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.475656873307e+00 3.862759194279e+02 5.464116923667e+00 1.268396840924e+00 8.228004584564e+01 -6.956091043268e+00 8.104027777443e+00 1.316743723617e+00 6.658260314637e+04
2.012531401737e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.468252580304e+00 3.827392164662e+02 7.747283522377e+00 1.984929991934e+00 7.827516202661e+01 -1.032932902012e+01 1.074346158677e+01 1.624076502170e+00 6.343353455353e+04
2.012531515778e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.476779220841e+00 3.792832619838e+02 9.993784202191e+00 2.481497751807e+00 7.381689342869e+01 -1.382130360354e+01 1.341283889296e+01 1.801306285428e+00 5.969044838787e+04
2.012531629818e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.486806911298e+00 3.759750008771e+02 1.211212274447e+01 2.731744026441e+00 6.852158273163e+01 -1.729781835955e+01 1.605170507250e+01 1.864154580613e+00 5.526988737169e+04
2.012531743858e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.494505364074e+00 3.729269593400e+02 1.400581479476e+01 2.789406957587e+00 6.278061309354e+01 -2.063229765245e+01 1.860940069256e+01 1.814024014872e+00 5.054326289484e+04
2.012531857898e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.504511847086e+00 3.702176134248e+02 1.559529517384e+01 2.705992847927e+00 5.706323472898e+01 -2.372667407667e+01 2.097872817216e+01 1.604097334632e+00 4.583882010356e+04
2.012531971939e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.524392931453e+00 3.678712696154e+02 1.682551400713e+01 2.487581224662e+00 5.179938686390e+01 -2.651097638059e+01 2.308177839019e+01 1.211588991842e+00 4.144193964050e+04
2.012532085979e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.560386501978e+00 3.658760023997e+02 1.767192855622e+01 2.158869932052e+00 4.732954055861e+01 -2.895061529112e+01 2.489774697253e+01 6.538143053949e-01 3.758993980867e+04
2.012532200019e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.618657107696e+00 3.642403883746e+02 1.818295397852e+01 1.864106068570e+00 4.388296019537e+01 -3.105285862506e+01 2.645913951496e+01 9.698587071812e-02 3.443159290686e+04
2.012532314059e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.703898121533e+00 3.629515824175e+02 1.841161744729e+01 1.694979042262e+00 4.140360460448e+01 -3.283575820639e+01 2.777201555915e+01 -3.453015729358e-01 3.190817537349e+04
2.012532428100e+03 1.020000000000e+00 3.681507555516e+01 4.300000000000e+00 4.807200979168e+00 3.620716636504e+02 1.839371671767e+01 1.631291666571e+00 3.975915749456e+01 -3.433531298878e+01 2.886579193544e+01 -6.113616157934e-01 2.998531538843e+04
